SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086309
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	1	9	6	20	day	2.1	Orig=0.08096in|orig.time= 8.00
1886	1	10	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	11	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	12	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	13	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	15	6	20	day	2.2	Orig=0.08695in|orig.time= 8.00
1886	1	16	6	20	day	0.7	Orig=0.02781in|orig.time= 8.00
1886	1	17	6	20	day	9.1	Orig=0.35839in|orig.time= 8.00
1886	1	17	23	20	day	16.6	Orig=0.6551in|orig.time= 1.00
1886	1	19	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	20	4	20	day	0	Orig=0in|orig.time= 6.00
1886	1	21	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	22	6	20	day	2.6	Orig=0.10325in|orig.time= 8.00
1886	1	23	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	24	6	20	day	0.2	Orig=0.0088in|orig.time= 8.00
1886	1	25	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	26	4	20	day	0	Orig=0in|orig.time= 6.00
1886	1	27	4	20	day	0	Orig=0in|orig.time= 6.00
1886	1	28	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	29	6	20	day	2.1	Orig=0.08096in|orig.time= 8.00
1886	1	30	6	20	day	0	Orig=0in|orig.time= 8.00
1886	1	31	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	1	4	20	day	0	Orig=0in|orig.time= 6.00
1886	2	2	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	3	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	4	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	5	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	6	6	20	day	0.6	Orig=0.025in|orig.time= 8.00
1886	2	8	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	9	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	10	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	11	6	20	day	2.4	Orig=0.09295in|orig.time= 8.00
1886	2	12	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	13	6	20	day	3.5	Orig=0.13706in|orig.time= 8.00
1886	2	14	6	20	day	0.6	Orig=0.02358in|orig.time= 8.00
1886	2	15	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	16	6	20	day	5.3	Orig=0.20982in|orig.time= 8.00
1886	2	17	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	18	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	19	6	20	day	3	Orig=0.119in|orig.time= 8.00
1886	2	20	6	20	day	0.2	Orig=0.00957in|orig.time= 8.00
1886	2	22	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	23	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	24	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	25	6	20	day	0.2	Orig=0.0074in|orig.time= 8.00
1886	2	26	6	20	day	0	Orig=0in|orig.time= 8.00
1886	2	27	6	20	day	23.4	Orig=0.92102in|orig.time= 8.00
1886	2	28	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	1	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	2	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	3	6	20	day	0.1	Orig=0.00282in|orig.time= 8.00
1886	3	4	6	20	day	25.4	Orig=1.00123in|orig.time= 8.00
1886	3	5	6	20	day	32.9	Orig=1.29413in|orig.time= 8.00
1886	3	6	6	20	day	5.3	Orig=0.2077in|orig.time= 8.00
1886	3	7	6	20	day	0.4	Orig=0.01453in|orig.time= 8.00
1886	3	8	5	20	day	0.8	Orig=0.03098in|orig.time= 7.00
1886	3	9	6	20	day	4.2	Orig=0.16581in|orig.time= 8.00
1886	3	10	6	20	day	0.5	Orig=0.02077in|orig.time= 8.00
1886	3	11	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	12	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	13	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	14	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	15	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	16	4	20	day	0	Orig=0in|orig.time= 6.00
1886	3	17	4	20	day	0	Orig=0in|orig.time= 6.00
1886	3	19	6	20	day	19.2	Orig=0.7541in|orig.time= 8.00
1886	3	20	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	21	6	20	day	10.7	Orig=0.42035in|orig.time= 8.00
1886	3	22	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	23	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	24	6	20	day	0.1	Orig=0.00317in|orig.time= 8.00
1886	3	25	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	26	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	27	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	28	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	29	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	30	6	20	day	0	Orig=0in|orig.time= 8.00
1886	3	30	19	20	day	0	Orig=0in|orig.time=21.00
1886	4	1	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	2	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	3	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	4	6	20	day	4.4	Orig=0.17457in|orig.time= 8.00
1886	4	5	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	6	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	7	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	8	6	20	day	3.7	Orig=0.14716in|orig.time= 8.00
1886	4	9	6	20	day	3.5	Orig=0.13624in|orig.time= 8.00
1886	4	10	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	11	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	12	6	20	day	2.2	Orig=0.086in|orig.time= 8.00
1886	4	13	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	14	6	20	day	0	Orig=0.00186in|orig.time= 8.00
1886	4	15	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	16	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	17	6	20	day	0.1	Orig=0.00282in|orig.time= 8.00
1886	4	18	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	19	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	20	6	20	day	0	Orig=0in|orig.time= 8.00
1886	4	21	6	20	day	3.7	Orig=0.14434in|orig.time= 8.00
