SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	NA
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1899	12	31	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	1	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	1	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	1	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	2	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	2	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	2	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	3	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	3	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	3	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	4	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	4	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	4	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	5	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	5	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	5	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	6	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	6	18	46	day	2.2	Orig=0.085in|orig.time=2016CMT
1900	1	6	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	7	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	7	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	7	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	8	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	8	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	8	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	9	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	9	18	46	day	0.2	Orig=0.009in|orig.time=2016CMT
1900	1	9	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	10	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	10	18	46	day	1.9	Orig=0.073in|orig.time=2016CMT
1900	1	10	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	11	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	11	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	11	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	12	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	12	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	12	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	13	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	13	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	13	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	14	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	14	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	14	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	15	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	15	18	46	day	0	Orig=0in|orig.time=2016CMT
1900	1	15	22	46	day	0	Orig=0in|orig.time=0016CMT
1900	1	16	6	46	day	0	Orig=0in|orig.time=0816CMT
1900	1	16	18	46	day	0	Orig=0in|orig.time=2016CMT
