SEF	1.0.0
ID	Kimberley
Name	Kimberley
Lat	-28.715
Lon	24.8375
Alt	1234
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086311
Vbl	w
Stat	mean
Units	m/s
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1898	1	1	NA	NA	day	2.4	Orig=5.4mph|orig.time=NA
1898	1	2	NA	NA	day	3.4	Orig=7.6mph|orig.time=NA
1898	1	3	NA	NA	day	3.7	Orig=8.3mph|orig.time=NA
1898	1	4	NA	NA	day	3.1	Orig=6.9mph|orig.time=NA
1898	1	5	NA	NA	day	2.8	Orig=6.3mph|orig.time=NA
1898	1	6	NA	NA	day	3.3	Orig=7.4mph|orig.time=NA
1898	1	7	NA	NA	day	3.1	Orig=6.9mph|orig.time=NA
1898	1	8	NA	NA	day	5	Orig=11.2mph|orig.time=NA
1898	1	9	NA	NA	day	3.4	Orig=7.7mph|orig.time=NA
1898	1	10	NA	NA	day	2.6	Orig=5.8mph|orig.time=NA
1898	1	11	NA	NA	day	5.1	Orig=11.5mph|orig.time=NA
1898	1	12	NA	NA	day	2.1	Orig=4.6mph|orig.time=NA
1898	1	13	NA	NA	day	2.7	Orig=6mph|orig.time=NA
1898	1	14	NA	NA	day	3.7	Orig=8.2mph|orig.time=NA
1898	1	15	NA	NA	day	4.6	Orig=10.3mph|orig.time=NA
1898	1	16	NA	NA	day	6.4	Orig=14.3mph|orig.time=NA
1898	1	17	NA	NA	day	5.8	Orig=13mph|orig.time=NA
1898	1	18	NA	NA	day	2.9	Orig=6.5mph|orig.time=NA
1898	1	19	NA	NA	day	3	Orig=6.6mph|orig.time=NA
1898	1	20	NA	NA	day	1.5	Orig=3.3mph|orig.time=NA
1898	1	21	NA	NA	day	3.4	Orig=7.7mph|orig.time=NA
1898	1	22	NA	NA	day	3.1	Orig=7mph|orig.time=NA
1898	1	23	NA	NA	day	2.8	Orig=6.3mph|orig.time=NA
1898	1	24	NA	NA	day	1.7	Orig=3.8mph|orig.time=NA
1898	1	25	NA	NA	day	2	Orig=4.5mph|orig.time=NA
1898	1	26	NA	NA	day	2.5	Orig=5.5mph|orig.time=NA
1898	1	27	NA	NA	day	2.3	Orig=5.2mph|orig.time=NA
1898	1	28	NA	NA	day	2.3	Orig=5.2mph|orig.time=NA
1898	1	29	NA	NA	day	4.3	Orig=9.7mph|orig.time=NA
1898	1	30	NA	NA	day	5.1	Orig=11.5mph|orig.time=NA
1898	1	31	NA	NA	day	2.4	Orig=5.3mph|orig.time=NA
1898	2	1	NA	NA	day	3.2	Orig=7.2mph|orig.time=NA
1898	2	2	NA	NA	day	4.9	Orig=10.9mph|orig.time=NA
1898	2	3	NA	NA	day	2.5	Orig=5.7mph|orig.time=NA
1898	2	4	NA	NA	day	3	Orig=6.6mph|orig.time=NA
1898	2	5	NA	NA	day	1.8	Orig=4mph|orig.time=NA
1898	2	6	NA	NA	day	1.9	Orig=4.3mph|orig.time=NA
1898	2	7	NA	NA	day	2.1	Orig=4.6mph|orig.time=NA
1898	2	8	NA	NA	day	4.8	Orig=10.7mph|orig.time=NA
1898	2	9	NA	NA	day	2.2	Orig=5mph|orig.time=NA
1898	2	10	NA	NA	day	2.6	Orig=5.8mph|orig.time=NA
1898	2	11	NA	NA	day	4.7	Orig=10.6mph|orig.time=NA
1898	2	12	NA	NA	day	2.8	Orig=6.2mph|orig.time=NA
1898	2	13	NA	NA	day	2.6	Orig=5.8mph|orig.time=NA
1898	2	14	NA	NA	day	3.6	Orig=8.1mph|orig.time=NA
1898	2	15	NA	NA	day	3.3	Orig=7.4mph|orig.time=NA
1898	2	16	NA	NA	day	2.7	Orig=6mph|orig.time=NA
1898	2	17	NA	NA	day	2.2	Orig=4.9mph|orig.time=NA
1898	2	18	NA	NA	day	3.1	Orig=7mph|orig.time=NA
1898	2	19	NA	NA	day	2.8	Orig=6.2mph|orig.time=NA
1898	2	20	NA	NA	day	1.6	Orig=3.6mph|orig.time=NA
1898	2	21	NA	NA	day	4.6	Orig=10.2mph|orig.time=NA
1898	2	22	NA	NA	day	3.7	Orig=8.3mph|orig.time=NA
1898	2	23	NA	NA	day	3.3	Orig=7.4mph|orig.time=NA
1898	2	24	NA	NA	day	2.3	Orig=5.2mph|orig.time=NA
1898	2	25	NA	NA	day	2.1	Orig=4.6mph|orig.time=NA
1898	2	26	NA	NA	day	2.6	Orig=5.8mph|orig.time=NA
1898	2	27	NA	NA	day	3	Orig=6.7mph|orig.time=NA
1898	2	28	NA	NA	day	2.7	Orig=6.1mph|orig.time=NA
1898	3	1	NA	NA	day	1.8	Orig=4.1mph|orig.time=NA
1898	3	2	NA	NA	day	1.8	Orig=4mph|orig.time=NA
1898	3	3	NA	NA	day	2.2	Orig=5mph|orig.time=NA
1898	3	4	NA	NA	day	2.3	Orig=5.2mph|orig.time=NA
1898	3	5	NA	NA	day	1.5	Orig=3.3mph|orig.time=NA
1898	3	6	NA	NA	day	1.9	Orig=4.3mph|orig.time=NA
1898	3	7	NA	NA	day	1.6	Orig=3.6mph|orig.time=NA
1898	3	8	NA	NA	day	3.1	Orig=6.9mph|orig.time=NA
1898	3	9	NA	NA	day	1.8	Orig=4.1mph|orig.time=NA
1898	3	10	NA	NA	day	1.4	Orig=3.1mph|orig.time=NA
