SEF	1.0.0
ID	Cape_Town_Obs
Name	Cape Town (Observatory)
Lat	-33.9344
Lon	18.4773
Alt	12
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086289
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1881	1	1	0	8	0	33.1	Orig=91.5F|screen=Glaisher Stand|orig.time=0122
1881	1	1	8	46	0	22.6	Orig=72.6F|screen=Glaisher Stand|orig.time=1000
1881	1	1	16	46	0	18.5	Orig=65.3F|screen=Glaisher Stand|orig.time=1800
1881	1	2	0	8	0	29.3	Orig=84.8F|screen=Glaisher Stand|orig.time=0122
1881	1	2	8	46	0	21.3	Orig=70.3F|screen=Glaisher Stand|orig.time=1000
1881	1	2	16	46	0	13.9	Orig=57F|screen=Glaisher Stand|orig.time=1800
1881	1	3	0	8	0	25.1	Orig=77.2F|screen=Glaisher Stand|orig.time=0122
1881	1	3	8	46	0	20.6	Orig=69F|screen=Glaisher Stand|orig.time=1000
1881	1	3	16	46	0	15	Orig=59F|screen=Glaisher Stand|orig.time=1800
1881	1	4	0	8	0	30.3	Orig=86.5F|screen=Glaisher Stand|orig.time=0122
1881	1	4	8	46	0	15.3	Orig=59.6F|screen=Glaisher Stand|orig.time=1000
1881	1	4	16	46	0	15.1	Orig=59.1F|screen=Glaisher Stand|orig.time=1800
1881	1	5	0	8	0	25.3	Orig=77.6F|screen=Glaisher Stand|orig.time=0122
1881	1	5	8	46	0	17.1	Orig=62.8F|screen=Glaisher Stand|orig.time=1000
1881	1	5	16	46	0	17.2	Orig=63F|screen=Glaisher Stand|orig.time=1800
1881	1	6	0	8	0	25	Orig=77F|screen=Glaisher Stand|orig.time=0122
1881	1	6	8	46	0	21.7	Orig=71.1F|screen=Glaisher Stand|orig.time=1000
1881	1	6	16	46	0	19.3	Orig=66.7F|screen=Glaisher Stand|orig.time=1800
1881	1	7	0	8	0	27	Orig=80.6F|screen=Glaisher Stand|orig.time=0122
1881	1	7	8	46	0	20.5	Orig=68.9F|screen=Glaisher Stand|orig.time=1000
1881	1	7	16	46	0	17.8	Orig=64F|screen=Glaisher Stand|orig.time=1800
1881	1	8	0	8	0	28.6	Orig=83.5F|screen=Glaisher Stand|orig.time=0122
1881	1	8	8	46	0	16.1	Orig=61F|screen=Glaisher Stand|orig.time=1000
1881	1	8	16	46	0	14.9	Orig=58.9F|screen=Glaisher Stand|orig.time=1800
1881	1	9	0	8	0	24.7	Orig=76.5F|screen=Glaisher Stand|orig.time=0122
1881	1	9	8	46	0	17.8	Orig=64F|screen=Glaisher Stand|orig.time=1000
1881	1	9	16	46	0	16.9	Orig=62.4F|screen=Glaisher Stand|orig.time=1800
1881	1	10	0	8	0	30.8	Orig=87.5F|screen=Glaisher Stand|orig.time=0122
1881	1	10	8	46	0	25.6	Orig=78F|screen=Glaisher Stand|orig.time=1000
1881	1	10	16	46	0	16.6	Orig=61.9F|screen=Glaisher Stand|orig.time=1800
1881	1	11	0	8	0	19.8	Orig=67.6F|screen=Glaisher Stand|orig.time=0122
1881	1	11	8	46	0	25.1	Orig=77.2F|screen=Glaisher Stand|orig.time=1000
1881	1	11	16	46	0	19.4	Orig=67F|screen=Glaisher Stand|orig.time=1800
1881	1	12	0	8	0	24.7	Orig=76.5F|screen=Glaisher Stand|orig.time=0122
1881	1	12	8	46	0	21.1	Orig=69.9F|screen=Glaisher Stand|orig.time=1000
1881	1	12	16	46	0	20.7	Orig=69.2F|screen=Glaisher Stand|orig.time=1800
1881	1	13	0	8	0	28.6	Orig=83.5F|screen=Glaisher Stand|orig.time=0122
1881	1	13	8	46	0	22.9	Orig=73.2F|screen=Glaisher Stand|orig.time=1000
1881	1	13	16	46	0	18.3	Orig=65F|screen=Glaisher Stand|orig.time=1800
1881	1	14	0	8	0	37.2	Orig=99F|screen=Glaisher Stand|orig.time=0122
1881	1	14	8	46	0	19.3	Orig=66.8F|screen=Glaisher Stand|orig.time=1000
1881	1	14	16	46	0	19.6	Orig=67.2F|screen=Glaisher Stand|orig.time=1800
1881	1	15	0	8	0	27.5	Orig=81.5F|screen=Glaisher Stand|orig.time=0122
1881	1	15	8	46	0	24.3	Orig=75.7F|screen=Glaisher Stand|orig.time=1000
1881	1	16	0	8	0	23.9	Orig=75F|screen=Glaisher Stand|orig.time=0122
1881	1	16	8	46	0	21.4	Orig=70.5F|screen=Glaisher Stand|orig.time=1000
1881	1	16	16	46	0	19.9	Orig=67.9F|screen=Glaisher Stand|orig.time=1800
1881	1	17	0	8	0	20.4	Orig=68.8F|screen=Glaisher Stand|orig.time=0122
1881	1	17	8	46	0	16.8	Orig=62.2F|screen=Glaisher Stand|orig.time=1000
1881	1	17	16	46	0	16.9	Orig=62.5F|screen=Glaisher Stand|orig.time=1800
1881	1	18	0	8	0	25.4	Orig=77.8F|screen=Glaisher Stand|orig.time=0122
1881	1	18	8	46	0	18.8	Orig=65.9F|screen=Glaisher Stand|orig.time=1000
1881	1	18	16	46	0	20.3	Orig=68.5F|screen=Glaisher Stand|orig.time=1800
1881	1	19	0	8	0	26.1	Orig=79F|screen=Glaisher Stand|orig.time=0122
1881	1	19	8	46	0	18.3	Orig=65F|screen=Glaisher Stand|orig.time=1000
1881	1	19	16	46	0	18.3	Orig=65F|screen=Glaisher Stand|orig.time=1800
1881	1	20	0	8	0	26.7	Orig=80F|screen=Glaisher Stand|orig.time=0122
1881	1	20	8	46	0	17.7	Orig=63.9F|screen=Glaisher Stand|orig.time=1000
1881	1	20	16	46	0	17.7	Orig=63.9F|screen=Glaisher Stand|orig.time=1800
1881	1	21	0	8	0	37.8	Orig=100F|screen=Glaisher Stand|orig.time=0122
1881	1	21	8	46	0	18.2	Orig=64.7F|screen=Glaisher Stand|orig.time=1000
1881	1	21	16	46	0	18.3	Orig=65F|screen=Glaisher Stand|orig.time=1800
1881	1	22	0	8	0	23.8	Orig=74.8F|screen=Glaisher Stand|orig.time=0122
1881	1	22	8	46	0	17.5	Orig=63.5F|screen=Glaisher Stand|orig.time=1000
1881	1	22	16	46	0	18.2	Orig=64.8F|screen=Glaisher Stand|orig.time=1800
1881	1	23	0	8	0	27.2	Orig=81F|screen=Glaisher Stand|orig.time=0122
1881	1	23	8	46	0	17.4	Orig=63.4F|screen=Glaisher Stand|orig.time=1000
1881	1	23	16	46	0	20.1	Orig=68.1F|screen=Glaisher Stand|orig.time=1800
1881	1	24	0	8	0	26.7	Orig=80F|screen=Glaisher Stand|orig.time=0122
1881	1	24	8	46	0	18.9	Orig=66F|screen=Glaisher Stand|orig.time=1000
1881	1	24	16	46	0	19.3	Orig=66.8F|screen=Glaisher Stand|orig.time=1800
1881	1	25	0	8	0	25.3	Orig=77.5F|screen=Glaisher Stand|orig.time=0122
1881	1	25	8	46	0	18.9	Orig=66F|screen=Glaisher Stand|orig.time=1000
1881	1	25	16	46	0	20.1	Orig=68.2F|screen=Glaisher Stand|orig.time=1800
1881	1	26	0	8	0	24.7	Orig=76.5F|screen=Glaisher Stand|orig.time=0122
1881	1	26	8	46	0	20	Orig=68F|screen=Glaisher Stand|orig.time=1000
1881	1	26	16	46	0	18.9	Orig=66.1F|screen=Glaisher Stand|orig.time=1800
1881	1	27	0	8	0	23.1	Orig=73.6F|screen=Glaisher Stand|orig.time=0122
1881	1	27	8	46	0	19.4	Orig=67F|screen=Glaisher Stand|orig.time=1000
1881	1	27	16	46	0	15	Orig=59F|screen=Glaisher Stand|orig.time=1800
1881	1	28	0	8	0	31	Orig=87.8F|screen=Glaisher Stand|orig.time=0122
1881	1	28	8	46	0	18.4	Orig=65.2F|screen=Glaisher Stand|orig.time=1000
1881	1	28	16	46	0	18.9	Orig=66F|screen=Glaisher Stand|orig.time=1800
1881	1	29	8	46	0	16.1	Orig=61F|screen=Glaisher Stand|orig.time=1000
1881	1	29	16	46	0	17.7	Orig=63.9F|screen=Glaisher Stand|orig.time=1800
1881	1	30	8	46	0	20.7	Orig=69.3F|screen=Glaisher Stand|orig.time=1000
1881	1	30	16	46	0	21.1	Orig=70F|screen=Glaisher Stand|orig.time=1800
1881	1	31	8	46	0	20.2	Orig=68.3F|screen=Glaisher Stand|orig.time=1000
1881	1	31	16	46	0	16.8	Orig=62.2F|screen=Glaisher Stand|orig.time=1800
1881	2	1	8	46	0	18.9	Orig=66F|screen=Glaisher Stand|orig.time=1000
1881	2	1	16	46	0	16.3	Orig=61.3F|screen=Glaisher Stand|orig.time=1800
1881	2	2	8	46	0	16.1	Orig=60.9F|screen=Glaisher Stand|orig.time=1000
1881	2	2	16	46	0	15	Orig=59F|screen=Glaisher Stand|orig.time=1800
1881	2	3	8	46	0	18.4	Orig=65.2F|screen=Glaisher Stand|orig.time=1000
1881	2	3	16	46	0	17.8	Orig=64F|screen=Glaisher Stand|orig.time=1800
1881	2	4	8	46	0	16.9	Orig=62.5F|screen=Glaisher Stand|orig.time=1000
1881	2	4	16	46	0	17.7	Orig=63.8F|screen=Glaisher Stand|orig.time=1800
1881	2	5	8	46	0	20.7	Orig=69.3F|screen=Glaisher Stand|orig.time=1000
1881	2	5	16	46	0	18.7	Orig=65.6F|screen=Glaisher Stand|orig.time=1800
1881	2	6	8	46	0	17.2	Orig=63F|screen=Glaisher Stand|orig.time=1000
1881	2	6	16	46	0	16.6	Orig=61.8F|screen=Glaisher Stand|orig.time=1800
1881	2	7	8	46	0	20.6	Orig=69F|screen=Glaisher Stand|orig.time=1000
1881	2	7	16	46	0	18.4	Orig=65.2F|screen=Glaisher Stand|orig.time=1800
1881	2	8	8	46	0	16.1	Orig=61F|screen=Glaisher Stand|orig.time=1000
1881	2	8	16	46	0	16.3	Orig=61.4F|screen=Glaisher Stand|orig.time=1800
1881	2	9	8	46	0	17.6	Orig=63.6F|screen=Glaisher Stand|orig.time=1000
1881	2	9	16	46	0	15.6	Orig=60F|screen=Glaisher Stand|orig.time=1800
1881	2	10	8	46	0	19.3	Orig=66.7F|screen=Glaisher Stand|orig.time=1000
1881	2	10	16	46	0	19.6	Orig=67.3F|screen=Glaisher Stand|orig.time=1800
1881	2	11	8	46	0	12.1	Orig=53.7F|screen=Glaisher Stand|orig.time=1000
1881	2	11	16	46	0	8.9	Orig=48F|screen=Glaisher Stand|orig.time=1800
1881	2	12	8	46	0	15.1	Orig=59.2F|screen=Glaisher Stand|orig.time=1000
1881	2	12	16	46	0	17.2	Orig=63F|screen=Glaisher Stand|orig.time=1800
1881	2	13	8	46	0	20	Orig=68F|screen=Glaisher Stand|orig.time=1000
1881	2	13	16	46	0	20.6	Orig=69F|screen=Glaisher Stand|orig.time=1800
1881	2	14	8	46	0	26.1	Orig=79F|screen=Glaisher Stand|orig.time=1000
1881	2	14	16	46	0	18.9	Orig=66.1F|screen=Glaisher Stand|orig.time=1800
1881	2	15	8	46	0	16.8	Orig=62.2F|screen=Glaisher Stand|orig.time=1000
1881	2	15	16	46	0	17.6	Orig=63.6F|screen=Glaisher Stand|orig.time=1800
1881	2	16	8	46	0	16.7	Orig=62F|screen=Glaisher Stand|orig.time=1000
1881	2	16	16	46	0	16.7	Orig=62F|screen=Glaisher Stand|orig.time=1800
1881	2	17	8	46	0	15.7	Orig=60.2F|screen=Glaisher Stand|orig.time=1000
1881	2	17	16	46	0	15.8	Orig=60.4F|screen=Glaisher Stand|orig.time=1800
1881	2	18	8	46	0	16.3	Orig=61.3F|screen=Glaisher Stand|orig.time=1000
1881	2	18	16	46	0	17.3	Orig=63.2F|screen=Glaisher Stand|orig.time=1800
1881	2	19	8	46	0	17.2	Orig=63F|screen=Glaisher Stand|orig.time=1000
1881	2	19	16	46	0	18.3	Orig=65F|screen=Glaisher Stand|orig.time=1800
1881	2	20	8	46	0	18.1	Orig=64.5F|screen=Glaisher Stand|orig.time=1000
1881	2	20	16	46	0	19	Orig=66.2F|screen=Glaisher Stand|orig.time=1800
1881	2	21	8	46	0	16.6	Orig=61.8F|screen=Glaisher Stand|orig.time=1000
1881	2	21	16	46	0	14.6	Orig=58.3F|screen=Glaisher Stand|orig.time=1800
1881	2	22	8	46	0	17.2	Orig=63F|screen=Glaisher Stand|orig.time=1000
1881	2	22	16	46	0	17.3	Orig=63.1F|screen=Glaisher Stand|orig.time=1800
1881	2	23	8	46	0	16.7	Orig=62F|screen=Glaisher Stand|orig.time=1000
