SEF	1.0.0
ID	Uitenhage
Name	Uitenhage
Lat	-33.7687
Lon	25.4141
Alt	103
Source	C3S_SouthAfrica
Link	https://data-rescue.copernicus-climate.eu/lso/1086322
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1821	1	1	NA	NA	0	23.3	Orig=74F
1821	1	2	NA	NA	0	22.8	Orig=73F
1821	1	3	NA	NA	0	23.3	Orig=74F
1821	1	4	NA	NA	0	23.3	Orig=74F
1821	1	5	NA	NA	0	21.7	Orig=71F
1821	1	6	NA	NA	0	23.3	Orig=74F
1821	1	7	NA	NA	0	22.8	Orig=73F
1821	1	8	NA	NA	0	23.9	Orig=75F
1821	1	9	NA	NA	0	25	Orig=77F
1821	1	10	NA	NA	0	23.3	Orig=74F
1821	1	11	NA	NA	0	21.7	Orig=71F
1821	1	12	NA	NA	0	23.3	Orig=74F
1821	1	13	NA	NA	0	23.9	Orig=75F
1821	1	14	NA	NA	0	22.8	Orig=73F
1821	1	15	NA	NA	0	23.3	Orig=74F
1821	1	16	NA	NA	0	22.8	Orig=73F
1821	1	17	NA	NA	0	23.3	Orig=74F
1821	1	18	NA	NA	0	26.1	Orig=79F
1821	1	19	NA	NA	0	26.1	Orig=79F
1821	1	20	NA	NA	0	26.7	Orig=80F
1821	1	21	NA	NA	0	24.4	Orig=76F
1821	1	22	NA	NA	0	23.3	Orig=74F
1821	1	23	NA	NA	0	24.4	Orig=76F
1821	1	24	NA	NA	0	23.3	Orig=74F
1821	1	25	NA	NA	0	22.8	Orig=73F
1821	1	26	NA	NA	0	23.3	Orig=74F
1821	1	27	NA	NA	0	23.9	Orig=75F
1821	1	28	NA	NA	0	24.4	Orig=76F
1821	1	29	NA	NA	0	23.3	Orig=74F
1821	1	30	NA	NA	0	24.4	Orig=76F
1821	1	31	NA	NA	0	21.7	Orig=71F
1821	2	1	NA	NA	0	21.7	Orig=71F
1821	2	2	NA	NA	0	21.7	Orig=71F
1821	2	3	NA	NA	0	23.9	Orig=75F
1821	2	4	NA	NA	0	24.4	Orig=76F
1821	2	5	NA	NA	0	24.4	Orig=76F
1821	2	6	NA	NA	0	24.4	Orig=76F
1821	2	7	NA	NA	0	25.6	Orig=78F
1821	2	8	NA	NA	0	27.8	Orig=82F
1821	2	9	NA	NA	0	24.4	Orig=76F
1821	2	10	NA	NA	0	25	Orig=77F
1821	2	11	NA	NA	0	24.4	Orig=76F
1821	2	12	NA	NA	0	26.7	Orig=80F
1821	2	13	NA	NA	0	25.6	Orig=78F
1821	2	14	NA	NA	0	25	Orig=77F
1821	2	15	NA	NA	0	26.1	Orig=79F
1821	2	16	NA	NA	0	23.9	Orig=75F
1821	2	17	NA	NA	0	25.6	Orig=78F
1821	2	18	NA	NA	0	24.4	Orig=76F
1821	2	19	NA	NA	0	25.6	Orig=78F
1821	2	20	NA	NA	0	26.1	Orig=79F
1821	2	21	NA	NA	0	25	Orig=77F
1821	2	22	NA	NA	0	25	Orig=77F
1821	2	23	NA	NA	0	25.6	Orig=78F
1821	2	24	NA	NA	0	25	Orig=77F
1821	2	25	NA	NA	0	26.1	Orig=79F
1821	2	26	NA	NA	0	24.4	Orig=76F
1821	2	27	NA	NA	0	23.9	Orig=75F
1821	2	28	NA	NA	0	23.9	Orig=75F
1821	3	1	NA	NA	0	25.6	Orig=78F|orig.time=AM
1821	3	1	NA	NA	0	26.1	Orig=79F|orig.time=PM
1821	3	2	NA	NA	0	23.3	Orig=74F|orig.time=AM
1821	3	2	NA	NA	0	23.9	Orig=75F|orig.time=PM
1821	3	3	NA	NA	0	20	Orig=68F|orig.time=AM
1821	3	3	NA	NA	0	20.6	Orig=69F|orig.time=PM
1821	3	4	NA	NA	0	20	Orig=68F|orig.time=AM
1821	3	4	NA	NA	0	21.1	Orig=70F|orig.time=PM
1821	3	5	NA	NA	0	21.7	Orig=71F|orig.time=AM
1821	3	5	NA	NA	0	23.3	Orig=74F|orig.time=PM
1821	3	6	NA	NA	0	23.3	Orig=74F|orig.time=AM
1821	3	6	NA	NA	0	22.2	Orig=72F|orig.time=PM
1821	3	7	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	7	NA	NA	0	22.2	Orig=72F|orig.time=PM
1821	3	8	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	8	NA	NA	0	23.3	Orig=74F|orig.time=PM
1821	3	9	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	9	NA	NA	0	23.3	Orig=74F|orig.time=PM
1821	3	10	NA	NA	0	22.8	Orig=73F|orig.time=AM
1821	3	10	NA	NA	0	23.3	Orig=74F|orig.time=PM
1821	3	11	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	11	NA	NA	0	22.8	Orig=73F|orig.time=PM
1821	3	12	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	12	NA	NA	0	22.2	Orig=72F|orig.time=PM
1821	3	13	NA	NA	0	22.2	Orig=72F|orig.time=AM
1821	3	13	NA	NA	0	22.2	Orig=72F|orig.time=PM
1821	3	14	NA	NA	0	21.1	Orig=70F|orig.time=AM
